Domain,Hit on EPCAM,Hit on CXCR4,Hit on tdTomato,Hit on any,Paddle has strong hit,Paddle has medium hit,Strong hit true positive,Strong hit false positive,Strong hit true negative,Strong hit false negative,Medium hit true positive,Medium hit false positive,Medium hit true negative,Medium hit false negative
AVL_MYBE,False,False,False,False,False,False,False,False,True,False,False,False,True,False
BAHV1_ICP4,False,True,True,True,False,False,False,False,False,True,False,False,False,True
BP6_VE2,False,False,False,False,False,True,False,False,True,False,False,True,False,False
BPSV_VLTF1,False,False,False,False,False,False,False,False,True,False,False,False,True,False
BPSV_VLTF2,False,False,False,False,False,False,False,False,True,False,False,False,True,False
BPSV_VLTF3,False,False,False,False,False,False,False,False,True,False,False,False,True,False
BPV1_NS1,False,False,True,True,False,True,False,False,False,True,True,False,False,False
CercAHV2_VP64_2,True,False,True,True,True,True,True,False,False,False,True,False,False,False
CervAHV2_ICP4,False,True,True,True,False,False,False,False,False,True,False,False,False,True
CGHV3_ORF42,False,False,True,True,True,True,True,False,False,False,True,False,False,False
COPV_VE2,False,False,False,False,False,False,False,False,True,False,False,False,True,False
CRPV_VE2,False,False,False,False,False,False,False,False,True,False,False,False,True,False
EBV_EBNA2,False,False,False,False,True,True,False,True,False,False,False,True,False,False
EBV_RTA,False,False,True,True,True,True,True,False,False,False,True,False,False,False
EBV_ZTA,False,False,False,False,False,False,False,False,True,False,False,False,True,False
EF_D920_01889,False,False,False,False,False,False,False,False,True,False,False,False,True,False
GHV2_MDV005,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HAVF40_E1A,True,False,True,True,True,True,True,False,False,False,True,False,False,False
HBV_X,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HCV_IE1,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HCV_IE2_1,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HCV_IE2_2,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HCV_POLG,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HHV1_ICP0,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HHV1_VP16x2,True,True,True,True,True,True,True,False,False,False,True,False,False,False
HHV2_ICP4C,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HHV2_IPC4N,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HHV6_DR7L,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HHV6A_IE2,False,False,False,False,True,True,False,True,False,False,False,True,False,False
HHV8_ORF24,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HHV8_ORF50,True,False,True,True,True,True,True,False,False,False,True,False,False,False
HHV8_VIRF2,True,False,True,True,True,True,True,False,False,False,True,False,False,False
HIV1O_TAT,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HP1_VE2,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HPV16_E2,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HPV16_E7,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HPV2A_VE2,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HPV42_VE2,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_AF10,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_ALX1,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_ATF6,False,False,True,True,True,True,True,False,False,False,True,False,False,False
HS_ATF6B,False,False,False,False,True,True,False,True,False,False,False,True,False,False
HS_ATF7,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_BANP,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_BRPF1,False,False,False,False,False,True,False,False,True,False,False,True,False,False
HS_C3ORF62,True,False,True,True,False,True,False,False,False,True,True,False,False,False
HS_CARM1,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_CEBPA,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_CHK2,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_CITED2,False,False,True,True,False,True,False,False,False,True,True,False,False,False
HS_CR3L1,False,False,False,False,True,True,False,True,False,False,False,True,False,False
HS_CREB3,True,False,True,True,True,True,True,False,False,False,True,False,False,False
HS_DDX17,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_DMTF1_1,True,False,False,True,False,False,False,False,False,True,False,False,False,True
HS_DMTF1_2,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_E2F1,True,False,True,True,True,True,True,False,False,False,True,False,False,False
HS_E2F2,True,False,True,True,True,True,True,False,False,False,True,False,False,False
HS_E2F3,False,False,False,False,True,True,False,True,False,False,False,True,False,False
HS_E2F4,False,False,False,False,True,True,False,True,False,False,False,True,False,False
HS_EAF1,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_EAF2_2,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_ECD_1,False,False,False,False,False,True,False,False,True,False,False,True,False,False
HS_EOMES,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_ESR1_1,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_ESR1_2,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_ETS1,False,False,False,False,False,True,False,False,True,False,False,True,False,False
HS_FAM22F,True,False,False,True,False,True,False,False,False,True,True,False,False,False
HS_FOXA2_1,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_FOXA2_2,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_FOXC1_1,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_FOXC1_2,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_FOXO6,True,False,False,True,True,True,True,False,False,False,True,False,False,False
HS_GABPB1,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_GLIS2,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_GRHL2,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_HNRL1,False,False,False,False,False,True,False,False,True,False,False,True,False,False
HS_HOXB1,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_HSF2,False,False,False,False,True,True,False,True,False,False,False,True,False,False
HS_KLF7,False,False,False,False,False,True,False,False,True,False,False,True,False,False
HS_MASTR,False,False,True,True,True,True,True,False,False,False,True,False,False,False
HS_MEIS2,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_MITF,False,False,False,False,False,True,False,False,True,False,False,True,False,False
HS_MLLx3,True,True,True,True,False,True,False,False,False,True,True,False,False,False
HS_MLXIP,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_MYBA,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_MYC,False,False,False,False,True,True,False,True,False,False,False,True,False,False
HS_NANOG,False,False,False,False,False,True,False,False,True,False,False,True,False,False
HS_NCOA5,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_NFAC1,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_NFAC2,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_NFATC1,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_NFE2,False,False,False,False,False,True,False,False,True,False,False,True,False,False
HS_NFE2L3,True,False,False,True,True,True,True,False,False,False,True,False,False,False
HS_NR1H2_1,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_NR1H2_2,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_NRF1,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_NRL,False,False,False,False,False,False,False,False,True,False,False,False,True,False
HS_P53,False,False,False,False,False,True,False,False,True,False,False,True,False,False
HS_P63,False,False,False,False,False,True,False,False,True,False,False,True,False,False
HS_P73,False,False,False,False,True,True,False,True,False,False,False,True,False,False
HS_PDX1_1,False,False,False,False,False,False,False,False,True,False,False,False,True,False
