Construct,Activator type,EPCAM_activation_score_1,EPCAM_activation_score_2,CXCR4_activation_score_1,CXCR4_activation_score_2,Reporter_activation_score_1,Reporter_activation_score_2,EPCAM_activation_score_average,CXCR4_activation_score_average,Reporter_activation_score_average
A01,Single-domain,247.75004188657695,166.07873879822336,678.3012577833151,639.713283179268,151.8089970402292,175.48182210365383,206.91439034240017,659.0072704812916,163.6454095719415
A02,Single-domain,219.40939017587309,130.335542353204,1159.971919088872,899.5457775293906,56.93060512964416,112.6165877966646,174.87246626453856,1029.7588483091313,84.77359646315438
A03,Single-domain,262.35991178523204,264.23357661811855,878.9841673587612,788.7792233325949,203.16207812091235,238.4543967058088,263.2967442016753,833.881695345678,220.8082374133606
A04,Single-domain,179.18868137284122,217.46723630516237,293.35436885006106,330.0740986882456,114.97351850242713,131.45516760612344,198.32795883900178,311.71423376915334,123.21434305427528
A05,Single-domain,283.4392134224453,277.36143799556214,1155.150623157151,984.9334114490218,257.0736601042215,263.8324853103384,280.4003257090037,1070.0420173030864,260.45307270727994
A06,Single-domain,325.7916223986266,330.3423513381304,1352.5929292579335,1028.6082247910783,153.4934239814417,228.38192682636011,328.06698686837854,1190.600577024506,190.93767540390093
A07,Single-domain,153.0841144060199,147.79307068514308,370.5602704696547,452.9770593935126,73.3750662111407,74.02284760952975,150.43859254558149,411.76866493158366,73.69895691033523
A08,Single-domain,333.76228896626867,377.302544253334,926.9032480914988,902.8924718566636,278.8097536455383,317.7053201983392,355.5324166098013,914.8978599740813,298.25753692193877
A09,Single-domain,236.8818546985831,233.5389306355871,675.2714259461114,683.9228026981406,145.621208372515,209.87896035537415,235.2103926670851,679.597114322126,177.75008436394458
A10,Single-domain,200.47068504592832,174.32999597492747,661.2596537982995,524.2828221938548,136.52513354521722,171.72328449468066,187.4003405104279,592.7712379960772,154.12420901994892
A11,Single-domain,96.8088854896574,86.71761227308629,634.4267360027889,714.0076666706829,143.86366858445473,109.74623970071389,91.76324888137185,674.2172013367358,126.80495414258431
A12,Single-domain,327.0380379108422,246.16270668161516,1578.1386718228218,1090.2486358501576,181.6492300581588,217.26662193607487,286.60037229622867,1334.1936538364898,199.45792599711683
A13,Single-domain,118.84301714621763,74.56198459517489,299.5251462631076,243.27064765881175,49.20908641505272,54.79387721902573,96.70250087069627,271.39789696095966,52.00148181703922
A14,Single-domain,199.57973603758677,203.0405203390485,1292.26637545103,945.557426455796,239.22860034074208,314.02186608865327,201.31012818831763,1118.911900953413,276.6252332146977
A15,Single-domain,61.774802855637006,50.32489189171691,495.42498993176713,499.5112113650327,125.28564441574656,104.7252845408928,56.049847373676954,497.4681006483999,115.00546447831968
A16,Single-domain,262.0672852662324,298.3706379504902,492.35634874185615,592.2606350507145,232.1843794219509,253.26800562394655,280.21896160836127,542.3084918962853,242.72619252294874
A17,Single-domain,128.64674329838073,133.41035767113044,237.81357998439023,238.4171541045978,191.0609671735077,260.74477263436654,131.02855048475558,238.115367044494,225.90286990393713
A18,Single-domain,160.70023343706885,103.82625621152464,307.76583575414224,289.94901365400005,107.07985750993328,83.6158647912055,132.26324482429675,298.85742470407115,95.34786115056939
A19,Single-domain,286.48059764428945,280.6701810497458,1087.4218525363508,905.903064869384,228.52117652292824,279.3558371951062,283.5753893470176,996.6624587028674,253.9385068590172
A20,Single-domain,438.8123148923121,371.8573181549279,397.3455378703106,431.6082275625208,240.086825016145,271.4702683161124,405.33481652362,414.47688271641573,255.7785466661287
A21,Single-domain,224.20264968131497,102.22750158792108,476.920261792118,323.02224323517135,63.0521786444519,73.16829084595554,163.21507563461802,399.9712525136447,68.11023474520371
A22,Single-domain,262.36906291069863,287.7240863933127,197.17800144757055,220.59912880367452,207.6202337526949,305.5226010226584,275.0465746520057,208.88856512562253,256.57141738767666
A23,Single-domain,81.2329874540439,61.846816863121646,155.46333746769005,217.1042833169664,55.31931851244803,42.074678328496645,71.53990215858278,186.28381039232823,48.69699842047234
A24,Single-domain,89.81516259113381,55.68500983498553,148.7511097697944,166.69105643249694,64.6197645674868,48.410513469353766,72.75008621305967,157.72108310114567,56.515139018420285
A25,Single-domain,94.31303076122876,34.59901497579584,169.26109030537074,166.3995186637951,41.47235156302555,52.24124120387286,64.45602286851229,167.83030448458294,46.85679638344921
A01_A01,Bipartite,150.35429370550588,241.46914585503265,680.1953473431829,448.83289667896656,126.9535022921212,97.63822418978944,195.91171978026927,564.5141220110747,112.29586324095533
A01_A02,Bipartite,221.75771328697687,212.94200748718544,782.1543556226178,594.5193160554779,174.829241664886,63.36961096575717,217.34986038708115,688.3368358390478,119.0994263153216
A01_A03,Bipartite,332.99279180321065,314.8646986070616,527.9096358825952,498.5309542746196,191.44013702122112,108.21322452600442,323.9287452051361,513.2202950786075,149.82668077361276
A01_A04,Bipartite,177.556498194307,164.0890063228016,656.2847082229873,441.58026155700406,173.59765773134907,67.79484110858841,170.82275225855432,548.9324848899957,120.69624941996875
A01_A05,Bipartite,255.6611031313293,260.862121960965,597.6781941871684,553.9120513795622,211.3497294836085,109.63613421377754,258.26161254614715,575.7951227833653,160.49293184869302
A01_A06,Bipartite,382.6959072026933,222.08567426878548,801.4872904401846,589.6499904740401,308.34624103936306,88.514886038209,302.3907907357394,695.5686404571123,198.43056353878603
A01_A07,Bipartite,203.21473555013563,142.60519843721175,458.9049987823312,473.7263795152657,174.0921294754869,91.44657050700094,172.9099669936737,466.31568914879847,132.76934999124393
A01_A08,Bipartite,257.9602663907516,291.1197522303013,599.1637172339748,532.3488408414797,180.10477836493104,151.80507402355815,274.54000931052644,565.7562790377273,165.9549261942446
A01_A09,Bipartite,96.0024266676453,132.99593305377385,538.1176031895247,439.3228095630023,113.92553984274382,67.3049095466932,114.49917986070957,488.7202063762635,90.6152246947185
A01_A10,Bipartite,291.50931730557045,302.3327324956544,642.9750368778734,540.9834809428316,100.36786570843084,103.3260067928288,296.92102490061245,591.9792589103525,101.84693625062982
