condition,fw reads,rv reads
CXCR4_1_bin_1,bi_CXCR4_1_bin_1.fastq.gz,
CXCR4_1_bin_2,bi_CXCR4_1_bin_2.fastq.gz,
CXCR4_1_bin_3,bi_CXCR4_1_bin_3.fastq.gz,
CXCR4_1_bin_4,bi_CXCR4_1_bin_4.fastq.gz,
CXCR4_1_NS,bi_CXCR4_1_NS.fastq.gz,
CXCR4_2_bin_1,bi_CXCR4_2_bin_1.fastq.gz,
CXCR4_2_bin_2,bi_CXCR4_2_bin_2.fastq.gz,
CXCR4_2_bin_3,bi_CXCR4_2_bin_3.fastq.gz,
CXCR4_2_bin_4,bi_CXCR4_2_bin_4.fastq.gz,
CXCR4_2_NS,bi_CXCR4_2_NS.fastq.gz,
EPCAM_1_bin_1,bi_EPCAM_1_bin_1.fastq.gz,
EPCAM_1_bin_2,bi_EPCAM_1_bin_2.fastq.gz,
EPCAM_1_bin_3,bi_EPCAM_1_bin_3.fastq.gz,
EPCAM_1_bin_4,bi_EPCAM_1_bin_4.fastq.gz,
EPCAM_1_NS,bi_EPCAM_1_NS.fastq.gz,
EPCAM_2_bin_1,bi_EPCAM_2_bin_1.fastq.gz,
EPCAM_2_bin_2,bi_EPCAM_2_bin_2.fastq.gz,
EPCAM_2_bin_3,bi_EPCAM_2_bin_3.fastq.gz,
EPCAM_2_bin_4,bi_EPCAM_2_bin_4.fastq.gz,
EPCAM_2_NS,bi_EPCAM_2_NS.fastq.gz,
Reporter_1_bin_1,bi_Reporter_1_bin_1.fastq.gz,
Reporter_1_bin_2,bi_Reporter_1_bin_2.fastq.gz,
Reporter_1_bin_3,bi_Reporter_1_bin_3.fastq.gz,
Reporter_1_bin_4,bi_Reporter_1_bin_4.fastq.gz,
Reporter_1_NS,bi_Reporter_1_NS.fastq.gz,
Reporter_2_bin_1,bi_Reporter_2_bin_1.fastq.gz,
Reporter_2_bin_2,bi_Reporter_2_bin_2.fastq.gz,
Reporter_2_bin_3,bi_Reporter_2_bin_3.fastq.gz,
Reporter_2_bin_4,bi_Reporter_2_bin_4.fastq.gz,
Reporter_2_NS,bi_Reporter_2_NS.fastq.gz,
