condition,fw reads,rv reads
CXCR4_1_bin_1,sd_CXCR4_1_bin_1.fastq.gz,
CXCR4_1_bin_2,sd_CXCR4_1_bin_2.fastq.gz,
CXCR4_1_bin_3,sd_CXCR4_1_bin_3.fastq.gz,
CXCR4_1_bin_4,sd_CXCR4_1_bin_4.fastq.gz,
CXCR4_1_NS,sd_CXCR4_1_NS.fastq.gz,
CXCR4_2_bin_1,sd_CXCR4_2_bin_1.fastq.gz,
CXCR4_2_bin_2,sd_CXCR4_2_bin_2.fastq.gz,
CXCR4_2_bin_3,sd_CXCR4_2_bin_3.fastq.gz,
CXCR4_2_bin_4,sd_CXCR4_2_bin_4.fastq.gz,
CXCR4_2_NS,sd_CXCR4_2_NS.fastq.gz,
EPCAM_1_bin_1,sd_EPCAM_1_bin_1.fastq.gz,
EPCAM_1_bin_2,sd_EPCAM_1_bin_2.fastq.gz,
EPCAM_1_bin_3,sd_EPCAM_1_bin_3.fastq.gz,
EPCAM_1_bin_4,sd_EPCAM_1_bin_4.fastq.gz,
EPCAM_1_NS,sd_EPCAM_1_NS.fastq.gz,
EPCAM_2_bin_1,sd_EPCAM_2_bin_1.fastq.gz,
EPCAM_2_bin_2,sd_EPCAM_2_bin_2.fastq.gz,
EPCAM_2_bin_3,sd_EPCAM_2_bin_3.fastq.gz,
EPCAM_2_bin_4,sd_EPCAM_2_bin_4.fastq.gz,
EPCAM_2_NS,sd_EPCAM_2_NS.fastq.gz,
Reporter_1_bin_1,sd_Reporter_1_bin_1.fastq.gz,
Reporter_1_bin_2,sd_Reporter_1_bin_2.fastq.gz,
Reporter_1_bin_3,sd_Reporter_1_bin_3.fastq.gz,
Reporter_1_bin_4,sd_Reporter_1_bin_4.fastq.gz,
Reporter_1_NS,sd_Reporter_1_NS.fastq.gz,
Reporter_2_bin_1,sd_Reporter_2_bin_1.fastq.gz,
Reporter_2_bin_2,sd_Reporter_2_bin_2.fastq.gz,
Reporter_2_bin_3,sd_Reporter_2_bin_3.fastq.gz,
Reporter_2_bin_4,sd_Reporter_2_bin_4.fastq.gz,
Reporter_2_NS,sd_Reporter_2_NS.fastq.gz,
